Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1,NT,NW,,,,,,,,,,,,,0.63,0.38,0.00,0.75,0.13,0.13,0.38,0.25,0.38,0.25,,,,,,,,,,,,,84,77,,85,80,90,67,85,100,,,,,,,,,,,,,,,,,40,85,100,100,65,85,90,100,50,85,100,100,,,,,0.5,0.5,0.5,1,1,0,1,1,1,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,2,NT,NW,,,,,,,,,,,,,0.38,0.50,0.13,0.50,0.38,0.13,0.75,0.00,0.25,0.13,,,,,,,,,,,,,68,67,2,50,47,50,86,,35,,,,,,,,,,,,,,,,,3,50,100,100,0,50,70,100,20.5,72.5,100,100,,,,,0.5,0,1,0,0.5,0.5,0,1,0.5,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,3,NT,NW,,,,,,,,,,,,,0.63,0.13,0.25,0.38,0.13,0.50,0.50,0.25,0.25,-0.25,,,,,,,,,,,,,100,0,75,43,20,18,97,50,5,,,,,,,,,,,,,,,,,25,99,100,100,0.5,15,37.5,99,5,50,94.5,99,,,,,0,0.5,1,1,0.5,0,0.5,0.5,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.63,0.25,0.13,0.38,0.25,0.38,0.25,,,,,,,,,,,,,81,90,,45,50,20,37,40,21,,,,,,,,,,,,,,,,,60,80,90,100,13,25,50,85,2,20,40,65,,,,,1,1,0.5,1,1,0.5,0,1,0.5,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,2,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.75,0.25,0.00,0.50,0.00,0.50,0.50,,,,,,,,,,,,,46,85,80,94,85,,94,,90,,,,,,,,,,,,,,,,,29.5,70,87.5,100,75,92.5,100,100,80,90,97.5,100,,,,,1,0,0.5,0.5,0.5,0.5,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,2,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.63,0.38,0.00,0.75,0.13,0.13,0.13,,,,,,,,,,,,,67,0,0,80,33,,42,50,50,,,,,,,,,,,,,,,,,0,25,75,100,0,50,100,100,0,25,50,100,,,,,0.5,0.5,1,1,0.5,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,3,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.88,0.13,0.00,0.63,0.00,0.38,0.38,,,,,,,,,,,,,93,75,,86,60,,100,,83,,,,,,,,,,,,,,,,,62.5,100,100,100,55,75,100,100,75,100,100,100,,,,,0.5,1,1,1,0.5,1,1,1,0.5,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.75,0.13,0.13,0.38,0.13,0.50,0.38,,,,,,,,,,,,,93,50,,82,50,50,67,50,81,,,,,,,,,,,,,,,,,62.5,87.5,100,100,50,50,95,100,50,62.5,75,100,,,,,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.63,0.38,0.00,0.38,0.13,0.50,0.50,,,,,,,,,,,,,70,10,20,78,53,,53,50,45,,,,,,,,,,,,,,,,,15,45,72.5,92.5,27.5,62.5,85,100,24.5,40,50,80,,,,,0,1,1,1,0.5,0.5,0.5,1,0.5,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,3,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.50,0.38,0.13,0.38,0.50,0.13,0.00,,,,,,,,,,,,,88,,,40,45,10,100,35,,,,,,,,,,,,,,,,,,70,80,100,100,15,30,50,70,30,40,100,,,,,,1,1,1,1,0,1,1,0,0,0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
