Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,ChoseMis_IT_C,ChoseMis_IT_W,ChoseCorr_IT_C,ChoseCorr_IT_W,ChoseFoil_IT_C,ChoseFoil_IT_W,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,
100,1,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.63,0.13,0.25,0.25,0.25,0.50,0.25,,,,,,,,,,,,,73,10,50,58,10,40,40,43,16,,,,,,,,,,,,,,,,,,,,,,,25,55,75,95,7.5,20,70,92.5,7.5,10,27.5,70,,,,,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,
101,2,NT,NW,,,,,,,,,,,,,0.63,0.13,0.25,0.50,0.25,0.25,0.25,0.25,0.50,0.25,,,,,,,,,,,,,25,0,13,59,13,13,50,13,31,,,,,,,,,,,,,,,,,,,,,,,0,12.5,25,37.5,0,12.5,37.5,92.5,0,0,25,100,,,,,0,1,1,0.5,0,0.5,0.5,1,0,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,
103,1,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.75,0.13,0.13,0.38,0.38,0.25,0.13,,,,,,,,,,,,,74,25,15,92,95,85,66,33,18,,,,,,,,,,,,,,,,,,,,,,,0,20,72.5,100,75,90,100,100,0,17.5,50,99,,,,,0.5,0,0.5,1,1,0,1,1,0.5,0,0,1,,,,,,,,,,,,,,,,,,,,,,
104,2,NT,NW,,,,,,,,,,,,,0.38,0.38,0.25,0.75,0.13,0.13,0.50,0.13,0.38,0.25,,,,,,,,,,,,,42,50,25,63,50,75,94,75,17,,,,,,,,,,,,,,,,,,,,,,,0,25,50,87.5,25,50,75,100,12.5,50,87.5,100,,,,,0.5,0.5,0,0.5,1,0.5,0.5,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
105,3,NT,NW,,,,,,,,,,,,,0.63,0.13,0.25,0.88,0.00,0.13,0.88,0.13,0.00,-0.13,,,,,,,,,,,,,7,0,9,7,,0,7,6,,,,,,,,,,,,,,,,,,,,,,,,1.5,6.5,8.5,10,1.5,5.5,7,9.5,4.5,6,7.5,9,,,,,0.5,0.5,1,0.5,0.5,1,1,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,
106,1,NT,NW,,,,,,,,,,,,,0.38,0.38,0.25,0.38,0.50,0.13,0.38,0.13,0.50,0.38,,,,,,,,,,,,,100,77,85,73,73,80,93,80,75,,,,,,,,,,,,,,,,,,,,,,,75,80,95,100,65,70,80,80,60,80,90,100,,,,,0,0,0.5,1,0,1,0.5,0,0,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,
107,2,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.63,0.25,0.13,0.63,0.00,0.38,0.25,,,,,,,,,,,,,70,100,,90,63,75,70,,92,,,,,,,,,,,,,,,,,,,,,,,32.5,75,87.5,100,50,75,100,100,50,75,87.5,100,,,,,1,1,0.5,1,0.5,0,1,1,1,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
108,1,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.75,0.25,0.00,0.88,0.13,0.00,0.00,,,,,,,,,,,,,79,100,5,85,30,,50,0,,,,,,,,,,,,,,,,,,,,,,,,5,85,100,100,30,65,90,100,0,15,60,100,,,,,0.5,1,1,0.5,0,1,1,1,0.5,1,1,1,,,,,,,,,,,,,,,,,,,,,,
109,1,NT,NW,,,,,,,,,,,,,0.75,0.00,0.25,0.50,0.38,0.13,0.50,0.00,0.50,0.38,,,,,,,,,,,,,85,,55,80,50,100,81,,61,,,,,,,,,,,,,,,,,,,,,,,25,85,100,100,25,60,100,100,25,62.5,97.5,100,,,,,0.5,0.5,1,1,0,1,0.5,0.5,0,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
110,2,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.88,0.13,0.00,0.63,0.38,0.00,0.00,,,,,,,,,,,,,73,27,80,81,90,,86,43,,,,,,,,,,,,,,,,,,,,,,,,15,50,70,90,70,80,90,90,30,60,90,100,,,,,0,0.5,0.5,1,1,1,0.5,1,0,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,
111,3,NT,NW,,,,,,,,,,,,,0.63,0.00,0.38,0.25,0.63,0.13,0.75,0.25,0.00,-0.13,,,,,,,,,,,,,60,,50,75,22,80,78,20,,,,,,,,,,,,,,,,,,,,,,,,15,35,75,100,10,20,50,90,20,55,80,100,,,,,0.5,0.5,1,0.5,0,0,0.5,0.5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
