"","...1","...2","id_record","id_study","id_control","id_effect","authors","title","publication_year","container","record_type","doi","language_record","language_materials","country","population","modality","incentives","incentive_notes","preregistered","open_data","open_data_claimed","open_materials","n_total","n_control","n_mi","within_between","accuracy_control_prop","accuracy_mi_prop","accuracy_control_mean","accuracy_mi_mean","accuracy_control_sd","accuracy_mi_sd","accuracy_type","accuracy_reverse","test_statistic","statistic_type","control_type","notes_comparison","notes_source","age_mean","age_median","age_sd","age_min","age_max","gender_female_prop","neuro_condition","preevent_valence","preevent_warning","preevent_alcohol","event_medium","event_materials","event_valence","postevent_recall","postevent_warning","postevent_retention_interval","exposure_medium","exposure_method","exposure_credibility","exposure_valence","postexposure_recall","postexposure_retention_interval","postexposure_warning","postexposure_correction","test_type","test_medium","item_centrality","items_control","items_misled","items_total","notes_moderators","notes_general","total_accuracy_control_mean","total_accuracy_mi_mean","total_accuracy_control_sd","total_accuracy_mi_sd","total_accuracy_control_prop","total_accuracy_mi_prop","id","yi","vi","cooks_dist"
"1",1,1,"001","001_01","001_01_01","0001","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,66,66,"within",NA,NA,0.08,0.28,NA,NA,"proportion",1,"omit","omit","neutral","first graders","Figure 1, p.70. Error rates estimated from figure using a ruler.","7.0",NA,NA,5.8,7.9,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.92,0.72,0.194465354084969,0.209361717104912,NA,NA,1,0.984126252641054,0.0339716078830959,3.98680611199016e-06
"2",2,2,"001","001_01","001_01_02","0002","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,72,72,"within",NA,NA,0.092,0.2,NA,NA,"proportion",1,"omit","omit","neutral","third graders","Figure 1, p.70. Error rates estimated from figure using a ruler.","9.1",NA,NA,8.4,10.3,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.908,0.8,0.208961173892021,0.195413589477539,NA,NA,2,0.53103296091154,0.0287569305749114,1.00328543003804e-05
"3",3,3,"001","001_01","001_01_03","0003","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,66,66,"within",NA,NA,0.062,0.22,NA,NA,"proportion",1,"omit","omit","neutral","fifth graders","Figure 1, p.70. Error rates estimated from figure using a ruler.","11.0",NA,NA,10.4,11.9,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.938,0.78,0.176779985427856,0.154507592320442,NA,NA,3,0.946202742024411,0.0336943167765701,2.39168363349443e-06
"4",4,4,"001","001_01","001_01_04","0004","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","students",NA,"required","participation was needed to complete a psychology course",0,0,0,0,282,78,78,"within",NA,NA,0.06,0.132,NA,NA,"proportion",1,"omit","omit","neutral","adults","Figure 1, p.70. Error rates estimated from figure using a ruler.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","text",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.94,0.868,0.146962970495224,0.157933384180069,NA,NA,4,0.469683223268904,0.0263480843917316,1.47996251211795e-05
"5",5,5,"001","001_02","001_02_01","0005","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,54,54,"within",NA,NA,0.34,0.64,NA,NA,"proportion",1,"omit","omit","neutral","first graders","Figure 1, p.70. Error rates estimated from figure using a ruler.","7.8",NA,NA,7.2,8.3,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.66,0.36,0.2953921854496,0.330382138490677,NA,NA,5,0.950524615574923,0.0412198937259901,2.26840668919324e-06
"6",6,6,"001","001_02","001_02_02","0006","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,192,42,42,"within",NA,NA,0.31,0.52,NA,NA,"proportion",1,"omit","omit","neutral","third graders","Figure 1, p.70. Error rates estimated from figure using a ruler.","9.9",NA,NA,8.9,11,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.69,0.48,0.266742080450058,0.325354427099228,NA,NA,6,0.699414238690572,0.050530834983828,1.97222401271104e-06
"7",7,7,"001","001_02","001_02_03","0007","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,192,42,42,"within",NA,NA,0.252,0.5,NA,NA,"proportion",1,"omit","omit","neutral","fifth graders","Figure 1, p.70. Error rates estimated from figure using a ruler.","11.7",NA,NA,10.8,12.6,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.748,0.5,0.195166602730751,0.219801887869835,NA,NA,7,1.18221860519266,0.0559383382765696,1.60401646194932e-05
"8",8,8,"001","001_02","001_02_04","0008","ackil & zaragoza",NA,"1995",NA,"article","10.1006/jecp.1995.1031","en","en","us","students",NA,"required","participation was needed to complete a psychology course",0,0,0,0,192,54,54,"within",NA,NA,0.11,0.19,NA,NA,"proportion",1,"omit","omit","neutral","adults","Figure 1, p.70. Error rates estimated from figure using a ruler.","20.1",NA,NA,18,44.2,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","text",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.89,0.81,0.191129580140114,0.302495777606964,NA,NA,8,0.31394217780638,0.0374933319028047,3.37610402331915e-05
"9",9,20,"006","006_01","006_01_01","0020","multhaup","Source Memory and Eyewitness Suggestibility in Older Adults","1999",NA,"article","10.1080/00221309909595352","en","en","us","community","lab",NA,NA,0,0,0,0,132,31,32,"between",NA,NA,2.42,3.59,NA,NA,"count",1,"omit","omit","consistent","comparing groups (yes/no recognition test)",NA,"70.65",NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","complex_office_scene_slide_psychology_today_1985",NA,1,0,0,"text","narrative",NA,"no_manipulation",1,0,0,0,"recognition","text",NA,8,8,32,"The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, postevent_recall and postexposure_recall was given a 1.","Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (71.61) and the mislead group (69.69).",0.6975,0.55125,0.17431552708149,0.202574908733368,NA,NA,20,0.763421511956614,0.068133559793257,0.000490481433957187
"10",10,21,"006","006_01","006_01_02","0021","multhaup","Source Memory and Eyewitness Suggestibility in Older Adults","1999",NA,"article","10.1080/00221309909595352","en","en","us","community","lab",NA,NA,0,0,0,0,132,33,32,"between",NA,NA,1.64,1.56,NA,NA,"count",1,"omit","omit","consistent","comparing groups (source-monitoring test)",NA,"70.49",NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","complex_office_scene_slide_psychology_today_1985",NA,1,0,0,"text","narrative",NA,"no_manipulation",1,0,0,0,"source_monitoring","text",NA,8,8,32,"The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, post-event recall was given a 1.","Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (70.03) and the mislead group (70.94).",0.795,0.805,0.217033743858337,0.201507017016411,NA,NA,21,-0.0471533800404252,0.0615701336972552,0.00136578619906893
