...1,id_record,id_study,id_control,id_misled,id_effect,authors,publication_year,bibtexkey,category,author,title,year,journal,doi,language_record,language_materials,country,population,modality,incentives,incentive_notes,preregistered,open_data,open_data_claimed,open_materials,n_total,n_control,n_mi,within_between,accuracy_control_prop,accuracy_mi_prop,accuracy_control_mean,accuracy_mi_mean,accuracy_control_sd,accuracy_mi_sd,accuracy_type,accuracy_reverse,test_statistic,statistic_type,control_type,notes_comparison,notes_source,age_mean,age_median,age_sd,age_min,age_max,gender_female_prop,neuro_condition,preevent_valence,preevent_warning,preevent_alcohol,event_medium,event_materials,event_valence,postevent_recall,postevent_warning,postevent_retention_interval,exposure_medium,exposure_method,exposure_credibility,exposure_valence,postexposure_recall,postexposure_retention_interval,postexposure_warning,postexposure_correction,test_type,test_medium,item_centrality,items_control,items_misled,items_total,notes_moderators,misinformation_type,misinformation_type_notes,sd_imputed,yi,vi,year_raw,control_acc,precision,leverage,resid,se,z,pred,se_pred,ci.lb,ci.ub,pi.lb,pi.ub
1,001,001_01,001_01_04,NA,0001,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,students,missing,required,participation was needed to complete a psychology course,0,0,0,0,282,78,78,within,NA,NA,0.06,0.132,0.243732844626515,0.259231117153069,proportion,1,omit,omit,neutral,adults,"Figure 1, p.70. Error rates estimated from figure using a ruler.",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,text,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,0.284770678445122,0.025900943395199,1995,-0.5880167926932343,38.60863230894362,7.162870338768431e-4,0.8704301480154295,0.8639902124176756,1.0074537136013766,-0.5856594695703075,0.23969851617448926,-1.055459928419998,-0.11585901072061694,-2.3771661563037547,1.2058472171631398
2,001,001_02,001_02_04,NA,0002,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,students,missing,required,participation was needed to complete a psychology course,0,0,0,0,192,54,54,within,NA,NA,0.11,0.19,0.239822375058983,0.267598368427198,proportion,1,omit,omit,neutral,adults,"Figure 1, p.70. Error rates estimated from figure using a ruler.",20.1,NA,NA,18,44.2,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,text,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,0.312614970616764,0.0374894820363598,1995,-0.5380167926932342,26.674148205892344,2.2148699270023382e-4,0.8549783725923972,0.8708221409485992,0.9818059651779831,-0.5423634019756332,0.23914807815379566,-1.0110850221290426,-0.07364178182222364,-2.333587479157076,1.2488606752058096
3,001,001_01,001_01_02,NA,0003,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,72,72,within,NA,NA,0.092,0.2,0.226663057482215,0.246872254578755,proportion,1,omit,omit,neutral,third graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",9.1,NA,NA,8.4,10.3,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,0.453316580740594,0.028491305286022,1995,-0.5560167926932342,35.09842704506086,0.0034748495883473985,0.9896065943732915,0.8655934371693504,1.143269521092358,-0.5362900136326975,0.23931742358208496,-1.0053435447265007,-0.06723648253889436,-2.3276009728206435,1.2550209455552483
4,001,001_01,001_01_03,NA,0004,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,66,66,within,NA,NA,0.062,0.22,0.224476643196501,0.252780706959707,proportion,1,omit,omit,neutral,fifth graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",11,NA,NA,10.4,11.9,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,0.657133467941705,0.0319387287677617,1995,-0.5860167926932343,31.30994997550997,0.004004052492652208,1.2397073465159119,0.8674840876825403,1.4290836732553283,-0.5825738785742068,0.23967396354204276,-1.0523262151485766,-0.11282154199983713,-2.3740679464383327,1.2089201892899193
5,001,001_01,001_01_01,NA,0005,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,66,66,within,NA,NA,0.08,0.28,0.225129357482215,0.252938397435897,proportion,1,omit,omit,neutral,first graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",7,NA,NA,5.8,7.9,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,0.830459672629779,0.0329153911661529,1995,-0.5680167926932342,30.380924077496797,0.0036152364503934616,1.38526323223908,0.8681066008184448,1.5957294080393625,-0.5548035596093012,0.239457393279467,-1.0241314262689,-0.08547569294970231,-2.3461863729405343,1.2365792537219322
6,001,001_02,001_02_03,NA,0006,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,192,42,42,within,NA,NA,0.252,0.5,0.254818623917749,0.250514027688312,proportion,1,omit,omit,neutral,fifth graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",11.7,NA,NA,10.8,12.6,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,0.972486904722747,0.0532483974991502,1995,-0.3960167926932342,18.779907883912546,0.0014638879264647767,1.2957733459752359,0.880179615000777,1.472169229883939,-0.3232864412524888,0.23783558449238523,-0.7894356210995968,0.14286273859461923,-2.113839092069383,1.4672662095644051
7,001,001_02,001_02_02,NA,0007,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,192,42,42,within,NA,NA,0.31,0.52,0.261184159632035,0.246891509829726,proportion,1,omit,omit,neutral,third graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",9.9,NA,NA,8.9,11,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,0.818736822253987,0.0516091070483009,1995,-0.3380167926932342,19.376425154267856,0.001155423544385389,1.0525411246195577,0.8793536659980629,1.1969485831675335,-0.23380430236557068,0.2374442241004529,-0.6991864299395159,0.23157782520837447,-2.0241574133859985,1.5565488086548573
8,001,001_02,001_02_01,NA,0008,ackil & zaragoza,-12.664519326065374,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,54,54,within,NA,NA,0.34,0.64,0.250698151942388,0.295536993738248,proportion,1,omit,omit,neutral,first graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",7.8,NA,NA,7.2,8.3,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,additive,NA,1,1.08697865470202,0.0425070490545269,1995,-0.3080167926932342,23.52550982114112,0.0011281133728674405,1.2744990921260813,0.8742088760681543,1.4578885287212753,-0.18752043742406124,0.23727497228486083,-0.6525708375351279,0.27752996268700547,-1.9777873482836505,1.602746473435528
9,002,002_01,002_01_01,NA,0009,blank et al,5.335480673934626,Blank_2013,article,Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon,Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering,2013,Acta Psychologica,10.1016/j.actpsy.2013.10.006,en,en,gb,students,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,0.5,0.41,0.26,0.3,proportion,0,omit,omit,consistent,students,"Table 2, p.639",NA,19,NA,18,42,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,live,cowitness,NA,no_manipulation,1,0,0,0,recognition,text,NA,3,3,18,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.",contradictory,NA,0,0.318568887984931,0.0337561922349665,2013,-0.1480167926932342,29.624194371192896,-0.042091023887920506,-0.053076573389490955,0.8705022009512937,-0.060972359784373126,0.37164546137442195,0.2324126347437148,-0.08387493227532145,0.8271658550241654,-1.4161695644339223,2.1594604871827663
10,002,002_01,002_01_02,NA,0010,blank et al,5.335480673934626,Blank_2013,article,Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon,Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering,2013,Acta Psychologica,10.1016/j.actpsy.2013.10.006,en,en,gb,students,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,0.5,0.37,0.28,0.26,proportion,0,omit,omit,consistent,students,"Table 2, p.639",NA,19,NA,18,42,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,text,narrative,NA,no_manipulation,1,0,0,0,recognition,text,NA,3,3,18,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.",contradictory,NA,0,0.478085840218162,0.0342856919609046,2013,-0.1480167926932342,29.166685658270605,-0.0421441869235122,0.10644037884374002,0.8708062824687145,0.12223198314782957,0.37164546137442195,0.2324126347437148,-0.08387493227532145,0.8271658550241654,-1.4161695644339223,2.1594604871827663
