"","id_record","id_study","id_control","id_misled","id_effect","authors","publication_year","bibtexkey","category","author","title","year","journal","doi","language_record","language_materials","country","population","modality","incentives","incentive_notes","preregistered","open_data","open_data_claimed","open_materials","n_total","n_control","n_mi","within_between","accuracy_control_prop","accuracy_mi_prop","accuracy_control_mean","accuracy_mi_mean","accuracy_control_sd","accuracy_mi_sd","accuracy_type","accuracy_reverse","test_statistic","statistic_type","control_type","notes_comparison","notes_source","age_mean","age_median","age_sd","age_min","age_max","gender_female_prop","neuro_condition","preevent_valence","preevent_warning","preevent_alcohol","event_medium","event_materials","event_valence","postevent_recall","postevent_warning","postevent_retention_interval","exposure_medium","exposure_method","exposure_credibility","exposure_valence","postexposure_recall","postexposure_retention_interval","postexposure_warning","postexposure_correction","test_type","test_medium","item_centrality","items_control","items_misled","items_total","notes_moderators","notes_general","sd_imputed","yi","vi"
"1","009","009_01","009_01_01","144_01_01","0041","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,23,23,"within",NA,NA,3.69,0.57,2.65,0.81,"count",0,"omit","omit","no_misinformation","trauma recall on peripheral details","table 4, p.543",19.06,NA,1.98,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","peripheral","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",1.56499054710609,0.113578211005776
"2","009","009_01","009_01_02","144_01_02","0042","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,21,21,"within",NA,NA,8.67,0.52,5.42,0.51,"count",0,"omit","omit","no_misinformation","non-trauma recall on peripheral details","table 4, p.544",19.06,NA,1.99,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","peripheral","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",2.0771976550788,0.146604167836486
"3","009","009_01","009_01_03","144_01_03","0043","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,21,21,"within",NA,NA,6.65,0.78,3.71,0.9,"count",0,"omit","omit","no_misinformation","complete recall on peripheral detail","table 4, p.545",19.06,NA,1.1,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","peripheral","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",2.13344229292532,0.149423524014791
"4","009","009_01","009_01_04","144_01_04","0044","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,23,23,"within",NA,NA,2.63,0.74,1.8,0.81,"count",0,"omit","omit","no_misinformation","no recall on peripheral details","table 4, p.546",19.06,NA,1.101,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",0,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","peripheral","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",1.33089840154046,0.106209679948076
"5","009","009_01","009_01_01","144_01_01","0045","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,23,23,"within",NA,NA,7.45,0.24,3.8,0.54,"count",0,"omit","omit","no_misinformation","trauma_recall on central details","table 4, p.547",19.06,NA,1.102,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","central","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",2.61100950344254,0.161058376381166
"6","009","009_01","009_01_02","144_01_02","0046","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,21,21,"within",NA,NA,5.57,0.14,3.37,0.48,"count",0,"omit","omit","no_misinformation","non-trauma recall on central details","table 4, p.548",19.06,NA,1.103,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","central","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",2.21331065892226,0.15355647705832
"7","009","009_01","009_01_03","144_01_03","0047","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,21,21,"within",NA,NA,7.22,0.39,2.32,0.66,"count",0,"omit","omit","no_misinformation","complete recall on central detail","table 4, p.549",19.06,NA,1.104,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","central","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",3.92886871352398,0.279000111525091
"8","009","009_01","009_01_04","144_01_04","0048","chan",2019,"Chan_2018","article","Elisha Chan; Helen M. Paterson; Celine van Golde","The effects of repeatedly recalling a traumatic event on eyewitness memory and suggestibility","2018","Memory","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit","NA",0,0,0,0,92,23,23,"within",NA,NA,3.46,0.3,1.78,0.47,"count",0,"omit","omit","no_misinformation","no recall on central details","table 4, p.550",19.06,NA,1.105,NA,NA,0.568,"NA","no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",0,0,"336","text","eyewitness","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","central","NA","5","NA","NA","this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)","0",2.38577906693524,0.148825453872026
"9","032","032_01","032_01_01","275_01_01","0132","sheehan & tilden",1986,NA,"article",NA,"the consistency of occurences of memory distortion following hypnotic induction","1986","the international journal of clinical and experimental hypnosis",NA,"en","en","au","community","lab","NA","NA",0,0,0,0,56,14,14,"between",NA,NA,9.43,9.07,3.74,3.54,"count",0,"omit","omit","no_misinformation","high h, central","table 2, p.130",NA,NA,NA,NA,NA,0.696,"NA","no_manipulation",0,0,"visual","wallet_snatching_slides_loftus_1979b","no_manipulation",0,0,NA,"text","questionnaire","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","central","3","3","NA","hypnosis","NA","0",0.0959795768078005,0.143021644270789
"10","032","032_01","032_01_01","275_01_01","0133","sheehan & tilden",1986,NA,"article",NA,"the consistency of occurences of memory distortion following hypnotic induction","1986","the international journal of clinical and experimental hypnosis",NA,"en","en","au","community","lab","NA","NA",0,0,0,0,56,14,14,"between",NA,NA,2.79,2.64,1.58,1.91,"count",0,"omit","omit","no_misinformation","high h, peripheral","table 2, p.130",NA,NA,NA,NA,NA,0.696,"NA","no_manipulation",0,0,"visual","wallet_snatching_slides_loftus_1979b","no_manipulation",0,0,NA,"text","questionnaire","no_manipulation","no_manipulation",0,"0",0,0,"free_recall","text","peripheral","3","3","NA","hypnosis","NA","0",0.083081537325856,0.142980402532936
