"","id_record","id_study","id_control","id_effect","authors","publication_year","bibtexkey","category","author","title","year","journal","doi","language_record","language_materials","country","population","modality","incentives","incentive_notes","preregistered","open_data","open_data_claimed","open_materials","n_total","n_control","n_mi","within_between","accuracy_control_prop","accuracy_mi_prop","accuracy_control_mean","accuracy_mi_mean","accuracy_control_sd","accuracy_mi_sd","accuracy_type","accuracy_reverse","test_statistic","statistic_type","control_type","notes_comparison","notes_source","age_mean","age_median","age_sd","age_min","age_max","gender_female_prop","neuro_condition","preevent_valence","preevent_warning","preevent_alcohol","event_medium","event_materials","event_valence","postevent_recall","postevent_warning","postevent_retention_interval","exposure_medium","exposure_method","exposure_credibility","exposure_valence","postexposure_recall","postexposure_retention_interval","postexposure_warning","postexposure_correction","test_type","test_medium","item_centrality","items_control","items_misled","items_total","notes_moderators","notes_general","total_accuracy_control_mean","total_accuracy_mi_mean","total_accuracy_control_sd","total_accuracy_mi_sd","total_accuracy_control_prop","total_accuracy_mi_prop","id"
"1","001","001_01","001_01_01","0001","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,66,66,"within",NA,NA,0.08,0.28,NA,NA,"proportion",1,"omit","omit","neutral","first graders","Figure 1, p.70. Error rates estimated from figure using a ruler.",7,NA,NA,5.8,7.9,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.92,0.72,NA,NA,NA,NA,1
"2","001","001_01","001_01_02","0002","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,72,72,"within",NA,NA,0.092,0.2,NA,NA,"proportion",1,"omit","omit","neutral","third graders","Figure 1, p.70. Error rates estimated from figure using a ruler.",9.1,NA,NA,8.4,10.3,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.908,0.8,NA,NA,NA,NA,2
"3","001","001_01","001_01_03","0003","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,66,66,"within",NA,NA,0.062,0.22,NA,NA,"proportion",1,"omit","omit","neutral","fifth graders","Figure 1, p.70. Error rates estimated from figure using a ruler.",11,NA,NA,10.4,11.9,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.938,0.78,NA,NA,NA,NA,3
"4","001","001_01","001_01_04","0004","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","students",NA,"required","participation was needed to complete a psychology course",0,0,0,0,282,78,78,"within",NA,NA,0.06,0.132,NA,NA,"proportion",1,"omit","omit","neutral","adults","Figure 1, p.70. Error rates estimated from figure using a ruler.",NA,NA,NA,NA,NA,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,0,1,0,"source_monitoring","text",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.94,0.868,NA,NA,NA,NA,4
"5","001","001_02","001_02_01","0005","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,282,54,54,"within",NA,NA,0.34,0.64,NA,NA,"proportion",1,"omit","omit","neutral","first graders","Figure 1, p.70. Error rates estimated from figure using a ruler.",7.8,NA,NA,7.2,8.3,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.66,0.36,NA,NA,NA,NA,5
"6","001","001_02","001_02_02","0006","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,192,42,42,"within",NA,NA,0.31,0.52,NA,NA,"proportion",1,"omit","omit","neutral","third graders","Figure 1, p.70. Error rates estimated from figure using a ruler.",9.9,NA,NA,8.9,11,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.69,0.48,NA,NA,NA,NA,6
"7","001","001_02","001_02_03","0007","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","community",NA,"none",NA,0,0,0,0,192,42,42,"within",NA,NA,0.252,0.5,NA,NA,"proportion",1,"omit","omit","neutral","fifth graders","Figure 1, p.70. Error rates estimated from figure using a ruler.",11.7,NA,NA,10.8,12.6,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","live",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.748,0.5,NA,NA,NA,NA,7
"8","001","001_02","001_02_04","0008","ackil & zaragoza",1995,"Ackil_1995","article","Jennifer K. Ackil; Maria S. Zaragoza","Developmental Differences in Eyewitness Suggestibility and Memory for Source",1995,"Journal of Experimental Child Psychology","10.1006/jecp.1995.1031","en","en","us","students",NA,"required","participation was needed to complete a psychology course",0,0,0,0,192,54,54,"within",NA,NA,0.11,0.19,NA,NA,"proportion",1,"omit","omit","neutral","adults","Figure 1, p.70. Error rates estimated from figure using a ruler.",20.1,NA,NA,18,44.2,NA,NA,"no_manipulation",0,0,"visual","looking_for_miracles",NA,0,0,0,"audio","narrative",NA,"no_manipulation",0,168,1,0,"source_monitoring","text",NA,5,5,23,"All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test","Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",0.89,0.81,NA,NA,NA,NA,8
"9","002","002_01","002_01_01","0009","blank et al",2013,"Blank_2013","article","Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon","Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering",2013,"Acta Psychologica","10.1016/j.actpsy.2013.10.006","en","en","gb","students","lab","course_credit_or_money","course credit or 5 GBP",0,0,0,0,120,60,60,"within",NA,NA,0.27,0.21,0.24,0.19,"proportion",0,"omit","omit","consistent","students","Table 2, p.639",NA,19,NA,18,42,NA,NA,"no_manipulation",0,0,"visual","CCTV_robbery_jewellery_store_youtube_anonymous_2011",NA,0,0,0,"live","cowitness",NA,"no_manipulation",0,0,0,0,"free_recall","text",NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.","A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test)",0.27,0.21,0.24,0.19,NA,NA,9
"10","002","002_01","002_01_02","0010","blank et al",2013,"Blank_2013","article","Hartmut Blank; James Ost; Jo Davies; Georgina Jones; Katie Lambert; Kelly Salmon","Comparing the influence of directly vs. indirectly encountered post-event misinformation on eyewitness remembering",2013,"Acta Psychologica","10.1016/j.actpsy.2013.10.006","en","en","gb","students","lab","course_credit_or_money","course credit or 5 GBP",0,0,0,0,120,60,60,"within",NA,NA,0.19,0.17,0.2,0.22,"proportion",0,"omit","omit","consistent","students","Table 2, p.639",NA,19,NA,18,42,NA,NA,"no_manipulation",0,0,"visual","CCTV_robbery_jewellery_store_youtube_anonymous_2011",NA,0,0,0,"text","narrative",NA,"no_manipulation",0,0,0,0,"free_recall","text",NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.","A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test)",0.19,0.17,0.2,0.22,NA,NA,10
