...1;...2;id_record;id_study;id_control;id_effect;authors;publication_year;bibtexkey;category;author;title;year;journal;doi;language_record;language_materials;country;population;modality;incentives;incentive_notes;preregistered;open_data;open_data_claimed;open_materials;n_total;n_control;n_mi;within_between;accuracy_control_prop;accuracy_mi_prop;accuracy_control_mean;accuracy_mi_mean;accuracy_control_sd;accuracy_mi_sd;accuracy_type;accuracy_reverse;test_statistic;statistic_type;control_type;notes_comparison;notes_source;age_mean;age_median;age_sd;age_min;age_max;gender_female_prop;neuro_condition;preevent_valence;preevent_warning;preevent_alcohol;event_medium;event_materials;event_valence;postevent_recall;postevent_warning;postevent_retention_interval;exposure_medium;exposure_method;exposure_credibility;exposure_valence;postexposure_recall;postexposure_retention_interval;postexposure_warning;postexposure_correction;test_type;test_medium;item_centrality;items_control;items_misled;items_total;notes_moderators;notes_general;total_accuracy_control_mean;total_accuracy_mi_mean;total_accuracy_control_sd;total_accuracy_mi_sd;total_accuracy_control_prop;total_accuracy_mi_prop;id;yi;vi
1;1;001;001_01;001_01_01;0001;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;community;NA;none;NA;0;0;0;0;282;66,000;66,000;within;NA;NA;0,0800;0,2800;NA;NA;proportion;1;omit;omit;neutral;first graders;Figure 1, p.70. Error rates estimated from figure using a ruler.;7,000;NA;NA;5,800;7,900;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;0;1;0;source_monitoring;live;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,920000000;0,720000000;0,1970717608928680;0,20936171710491200;NA;NA;1;0,97803317650797128;0,03392632156950861
2;2;001;001_01;001_01_02;0002;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;community;NA;none;NA;0;0;0;0;282;72,000;72,000;within;NA;NA;0,0920;0,2000;NA;NA;proportion;1;omit;omit;neutral;third graders;Figure 1, p.70. Error rates estimated from figure using a ruler.;9,100;NA;NA;8,400;10,300;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;0;1;0;source_monitoring;live;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,908000000;0,800000000;0,1783645749092100;0,19541358947753901;NA;NA;2;0,57422735897105304;0,02892269812427386
3;3;001;001_01;001_01_03;0003;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;community;NA;none;NA;0;0;0;0;282;66,000;66,000;within;NA;NA;0,0620;0,2200;NA;NA;proportion;1;omit;omit;neutral;fifth graders;Figure 1, p.70. Error rates estimated from figure using a ruler.;11,000;NA;NA;10,400;11,900;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;0;1;0;source_monitoring;live;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,938000000;0,780000000;0,1415684670209880;0,15450759232044201;NA;NA;3;1,06011015640128092;0,03455997554433769
4;4;001;001_01;001_01_04;0004;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;students;NA;required;participation was needed to complete a psychology course;0;0;0;0;282;78,000;78,000;within;NA;NA;0,0600;0,1320;NA;NA;proportion;1;omit;omit;neutral;adults;Figure 1, p.70. Error rates estimated from figure using a ruler.;NA;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;0;1;0;source_monitoring;text;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,940000000;0,868000000;0,1874445229768750;0,15793338418006900;NA;NA;4;0,41339387036674380;0,02618876439761793
5;5;001;001_02;001_02_01;0005;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;community;NA;none;NA;0;0;0;0;282;54,000;54,000;within;NA;NA;0,3400;0,6400;NA;NA;proportion;1;omit;omit;neutral;first graders;Figure 1, p.70. Error rates estimated from figure using a ruler.;7,800;NA;NA;7,200;8,300;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;168;1;0;source_monitoring;live;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,660000000;0,360000000;0,3258611857891080;0,33038213849067699;NA;NA;5;0,90778655096197203;0,04085220565790478
6;6;001;001_02;001_02_02;0006;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;community;NA;none;NA;0;0;0;0;192;42,000;42,000;within;NA;NA;0,3100;0,5200;NA;NA;proportion;1;omit;omit;neutral;third graders;Figure 1, p.70. Error rates estimated from figure using a ruler.;9,900;NA;NA;8,900;11,000;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;168;1;0;source_monitoring;live;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,690000000;0,480000000;0,3288570940494540;0,32535442709922802;NA;NA;6;0,63609221438216323;0,05002746014998573
7;7;001;001_02;001_02_03;0007;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;community;NA;none;NA;0;0;0;0;192;42,000;42,000;within;NA;NA;0,2520;0,5000;NA;NA;proportion;1;omit;omit;neutral;fifth graders;Figure 1, p.70. Error rates estimated from figure using a ruler.;11,700;NA;NA;10,800;12,600;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;168;1;0;source_monitoring;live;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,748000000;0,500000000;0,2239464074373250;0,21980188786983501;NA;NA;7;1,10744263618958816;0,05491922138363419
8;8;001;001_02;001_02_04;0008;ackil & zaragoza;1995;Ackil_1995;article;"Jennifer K. Ackil; Maria S. Zaragoza";Developmental Differences in Eyewitness Suggestibility and Memory for Source;1995;Journal of Experimental Child Psychology;10.1006/jecp.1995.1031;en;en;us;students;NA;required;participation was needed to complete a psychology course;0;0;0;0;192;54,000;54,000;within;NA;NA;0,1100;0,1900;NA;NA;proportion;1;omit;omit;neutral;adults;Figure 1, p.70. Error rates estimated from figure using a ruler.;20,100;NA;NA;18,000;44,200;NA;NA;no_manipulation;0;0;visual;looking_for_miracles;NA;0;0;0,00;audio;narrative;NA;no_manipulation;0;168;1;0;source_monitoring;text;NA;5;5;23;All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test;Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.;0,890000000;0,810000000;0,2667513787746430;0,30249577760696400;NA;NA;8;0,27853021058120481;0,03739619943614079
9;20;006;006_01;006_01_01;0020;multhaup;1999;Multhaup_1999;article;"Kristi S. Multhaup; Doreen M. De Leonardis; Marcia K. Johnson";Source Memory and Eyewitness Suggestibility in Older Adults;1999;The Journal of General Psychology;10.1080/00221309909595352;en;en;us;community;lab;NA;NA;0;0;0;0;132;31,000;32,000;between;NA;NA;2,4200;3,5900;NA;NA;count;1;omit;omit;consistent;comparing groups (yes/no recognition test);NA;70,650;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;complex_office_scene_slide_psychology_today_1985;NA;1;0;0,00;text;narrative;NA;no_manipulation;1;0;0;0;recognition;text;NA;8;8;32;The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, postevent_recall and postexposure_recall was given a 1.;Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (71.61) and the mislead group (69.69).;0,697500000;0,551250000;0,2027427703142170;0,20257490873336800;NA;NA;20;0,71274546999964605;0,06753985900029583
10;21;006;006_01;006_01_02;0021;multhaup;1999;Multhaup_1999;article;"Kristi S. Multhaup; Doreen M. De Leonardis; Marcia K. Johnson";Source Memory and Eyewitness Suggestibility in Older Adults;1999;The Journal of General Psychology;10.1080/00221309909595352;en;en;us;community;lab;NA;NA;0;0;0;0;132;33,000;32,000;between;NA;NA;1,6400;1,5600;NA;NA;count;1;omit;omit;consistent;comparing groups (source-monitoring test);NA;70,490;NA;NA;NA;NA;NA;NA;no_manipulation;0;0;visual;complex_office_scene_slide_psychology_today_1985;NA;1;0;0,00;text;narrative;NA;no_manipulation;1;0;0;0;source_monitoring;text;NA;8;8;32;The filler tasks were to shortly describe the slides, without the intention of RES. Therefore, post-event recall was given a 1.;Mean age were presented for both mislead group and control group, the extracted mean age is based on the mean of the mean age of the control group (70.03) and the mislead group (70.94).;0,795000000;0,805000000;0,2055415660142900;0,20150701701641099;NA;NA;21;-0,04853651224078914;0,06157115178780338
