id_record,id_study,id_control,id_effect,authors,title,publication_year,container,record_type,doi,language_record,language_materials,country,population,modality,incentives,incentive_notes,preregistered,open_data,open_data_claimed,open_materials,n_total,n_control,n_mi,within_between,accuracy_control_prop,accuracy_mi_prop,accuracy_control_mean,accuracy_mi_mean,accuracy_control_sd,accuracy_mi_sd,accuracy_type,accuracy_reverse,test_statistic,statistic_type,control_type,notes_comparison,notes_source,age_mean,age_median,age_sd,age_min,age_max,gender_female_prop,neuro_condition,preevent_valence,preevent_warning,preevent_alcohol,event_medium,event_materials,event_valence,postevent_recall,postevent_warning,postevent_retention_interval,exposure_medium,exposure_method,exposure_credibility,exposure_valence,postexposure_recall,postexposure_retention_interval,postexposure_warning,postexposure_correction,test_type,test_medium,item_centrality,items_control,items_misled,items_total,notes_moderators,notes_general,,total_accuracy_control_mean,total_accuracy_mi_mean,total_accuracy_control_sd,total_accuracy_mi_sd,total_accuracy_control_prop,total_accuracy_mi_prop,id,,,,,,,
001,001_01,001_01_01,0001,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,first graders,NA,none,NA,0,0,0,0,282,66,66,within,NA,NA,.08,.28,NA,NA,proportion,1,omit,omit,neutral,first graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",7.0,NA,NA,5.80,7.9,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.920,0.720,NA,NA,NA,NA,1,,,,,,,
001,001_01,001_01_02,0002,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,third graders ,NA,none,NA,0,0,0,0,282,72,72,within,NA,NA,.092,.2,NA,NA,proportion,1,omit,omit,neutral,third graders ,"Figure 1, p.70. Error rates estimated from figure using a ruler.",9.1,NA,NA,8.40,10.3,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.908,0.800,NA,NA,NA,NA,2,,,,,,,
001,001_01,001_01_03,0003,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,fifth graders ,NA,none,NA,0,0,0,0,282,66,66,within,NA,NA,.062,.22,NA,NA,proportion,1,omit,omit,neutral,fifth graders ,"Figure 1, p.70. Error rates estimated from figure using a ruler.",11.0,NA,NA,10.40,11.9,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.938,0.780,NA,NA,NA,NA,3,,,,,,,
001,001_01,001_01_04,0004,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,students ,NA,required ,participation was needed to complete a psychology course,0,0,0,0,282,78,78,within,NA,NA,.06,.132,NA,NA,proportion,1,omit,omit,neutral,adults ,"Figure 1, p.70. Error rates estimated from figure using a ruler.",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,text,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.940,0.868,NA,NA,NA,NA,4,,,,,,,
001,001_02,001_02_01,0005,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,first graders,NA,none,NA,0,0,0,0,282,54,54,within,NA,NA,.34,.64,NA,NA,proportion,1,omit,omit,neutral,first graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",7.8,NA,NA,7.20,8.30,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.660,0.360,NA,NA,NA,NA,5,,,,,,,
001,001_02,001_02_02,0006,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,third graders ,NA,none,NA,0,0,0,0,192,42,42,within,NA,NA,.31,.52,NA,NA,proportion,1,omit,omit,neutral,third graders ,"Figure 1, p.70. Error rates estimated from figure using a ruler.",9.9,NA,NA,8.90,11.00,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.690,0.480,NA,NA,NA,NA,6,,,,,,,
001,001_02,001_02_03,0007,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,fifth graders ,NA,none,NA,0,0,0,0,192,42,42,within,NA,NA,.252,.5,NA,NA,proportion,1,omit,omit,neutral,fifth graders ,"Figure 1, p.70. Error rates estimated from figure using a ruler.",11.7,NA,NA,10.80,12.60,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.748,0.500,NA,NA,NA,NA,7,,,,,,,
001,001_02,001_02_04,0008,ackil & zaragoza,,1995,,article,10.1006/jecp.1995.1031,en,en,us,students,NA,required ,participation was needed to complete a psychology course,0,0,0,0,192,54,54,within,NA,NA,.11,.19,NA,NA,proportion,1,omit,omit,neutral,adults ,"Figure 1, p.70. Error rates estimated from figure using a ruler.",20.1,NA,NA,18.00,44.20,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,text,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",,0.890,0.810,NA,NA,NA,NA,8,,,,,,,
002,002_01,002_01_01,0009,blank et al,,2013,,article,10.1016/j.actpsy.2013.10.006,en,en,gb,students ,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,.27,.21,.24,.19,proportion,0,omit,omit,consistent,students ,"Table 2, p.639",NA,19,NA,18.00,42.00,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,live,cowitness,NA,no_manipulation,0,0,0,0,free_recall,text,NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.  ",A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test),,.27,.21,.24,.19,NA,NA,9,,,,,,,
002,002_01,002_01_02,0010,blank et al,,2013,,article,10.1016/j.actpsy.2013.10.006,en,en,gb,students ,lab,course_credit_or_money,course credit or 5 GBP,0,0,0,0,120,60,60,within,NA,NA,.19,.17,.2,.22,proportion,0,omit,omit,consistent,students ,"Table 2, p.639",NA,19,NA,18.00,42.00,NA,NA,no_manipulation,0,0,visual,CCTV_robbery_jewellery_store_youtube_anonymous_2011,NA,0,0,0,text,narrative,NA,no_manipulation,0,0,0,0,free_recall,text,NA,3,3,NA,"two tests were conducted, recall and regocnition. Free recal was first and forced choice recognition directly after. The tests were not the same, but some dependency between the measures must be assumed.  ",A 2 (influence type: direct vs. indirect) × 2 (post-warning: yes vs. no) experimental design. With exposure to misleading details (vs. no exposure) and time of assessment (immediately vs. one week later) were within-participants factors. We did not assess the repeated test),,.19,.17,.2,.22,NA,NA,10,,,,,,,
