...1,id_record,id_study,id_control,id_misled,id_effect,authors,publication_year,bibtexkey,category,author,title,year,journal,doi,language_record,language_materials,country,population,modality,incentives,incentive_notes,preregistered,open_data,open_data_claimed,open_materials,n_total,n_control,n_mi,within_between,accuracy_control_prop,accuracy_mi_prop,accuracy_control_mean,accuracy_mi_mean,accuracy_control_sd,accuracy_mi_sd,accuracy_type,accuracy_reverse,test_statistic,statistic_type,control_type,notes_comparison,notes_source,age_mean,age_median,age_sd,age_min,age_max,gender_female_prop,neuro_condition,preevent_valence,preevent_warning,preevent_alcohol,event_medium,event_materials,event_valence,postevent_recall,postevent_warning,postevent_retention_interval,exposure_medium,exposure_method,exposure_credibility,exposure_valence,postexposure_recall,postexposure_retention_interval,postexposure_warning,postexposure_correction,test_type,test_medium,item_centrality,items_control,items_misled,items_total,notes_moderators,notes_general,sd_imputed,yi,vi,year_raw,control_acc,leverage,resid,se,z,pred,se_pred,ci.lb,ci.ub,pi.lb,pi.ub,p,p2,p_log
13,002,002_01,002_01_04,NA,0013,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,students,missing,required,participation was needed to complete a psychology course,0,0,0,0,282,78,78,within,NA,NA,0.06,0.132,0.233335333333333,0.224411,proportion,1,omit,omit,neutral,adults,"Figure 1, p.70. Error rates estimated from figure using a ruler.",NA,NA,NA,NA,NA,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,text,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,0.312990260614151,0.0259550093052542,1995,-0.5917722862456245,0.003036103743651335,0.9075893650892488,0.8692010599490564,1.0441650463961034,-0.5945991044750979,0.26517712664588233,-1.114336722224844,-0.07486148672535187,-2.4229348752638384,1.2337366663136424,0.9739777094827746,0.4739777094827746,1.5846544789039336
14,002,002_02,002_02_04,NA,0014,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,students,missing,required,participation was needed to complete a psychology course,0,0,0,0,192,54,54,within,NA,NA,0.11,0.19,0.247066666666667,0.262156666666667,proportion,1,omit,omit,neutral,adults,"Figure 1, p.70. Error rates estimated from figure using a ruler.",20.1,NA,NA,18,44.2,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,text,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,0.31183781884287,0.0374872353021328,1995,-0.5417722862456246,0.0016423643131842783,0.8460151382974552,0.8760290991778638,0.9657386256819824,-0.5341773194545852,0.26445157307762635,-1.052492878341695,-0.015861760567475458,-2.3621093526620385,1.2937547137528678,0.9463662836557318,0.44636628365573183,1.270562109210908
15,002,002_01,002_01_02,NA,0015,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,72,72,within,NA,NA,0.092,0.2,0.197259523809524,0.273588,proportion,1,omit,omit,neutral,third graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",9.1,NA,NA,8.4,10.3,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,0.450439072812676,0.0284822755497095,1995,-0.5597722862456246,0.005195085255260246,0.986570253326005,0.8707998949050656,1.1329471433084644,-0.536131180513329,0.26469643063420106,-1.0549266513926676,-0.017335709633990337,-2.3641993521213767,1.291936991094719,0.99619613724689,0.49619613724689005,2.419775161198952
16,002,002_01,002_01_03,NA,0016,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,66,66,within,NA,NA,0.062,0.22,0.201674666666667,0.294418666666667,proportion,1,omit,omit,neutral,fifth graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",11,NA,NA,10.4,11.9,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,0.622508918554281,0.0317708990669683,1995,-0.5897722862456245,0.005885610740412845,1.2134537777817682,0.8725495883124084,1.3906989287894802,-0.5909448592274872,0.265146180078587,-1.1106218228198892,-0.07126789563508518,-2.419263388896236,1.2373736704412615,0.9997606989312595,0.4997606989312595,3.6210553617833123
17,002,002_01,002_01_01,NA,0017,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,66,66,within,NA,NA,0.08,0.28,0.206694666666667,0.309617666666667,proportion,1,omit,omit,neutral,first graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",7,NA,NA,5.8,7.9,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,0,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,0.755382957429895,0.0324644068650588,1995,-0.5717722862456246,0.00538595537279444,1.3134396094288874,0.8730298061690506,1.5044613599075187,-0.5580566519989923,0.2648730756663217,-1.0771983407793355,-0.03891496321864929,-2.386223108444133,1.2701098044461485,0.9999861994928212,0.4999861994928212,4.86010495266327
18,002,002_02,002_02_03,NA,0018,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,192,42,42,within,NA,NA,0.252,0.5,0.269095,0.263679666666667,proportion,1,omit,omit,neutral,fifth graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",11.7,NA,NA,10.8,12.6,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,0.922382127498832,0.0526832666019599,1995,-0.39977228624562455,0.0020950247510871526,1.1971080343730673,0.8851560231315909,1.3524260165318904,-0.27472590687423537,0.262785964471616,-0.7897769328812249,0.24032511913275412,-2.1017349541513224,1.5522831404028516,0.9999707272338006,0.49997072723380065,4.533536235941673
19,002,002_02,002_02_02,NA,0019,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,192,42,42,within,NA,NA,0.31,0.52,0.2753,0.243489666666667,proportion,1,omit,omit,neutral,third graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",9.9,NA,NA,8.9,11,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,0.800641867602741,0.0514346869057048,1995,-0.34177228624562456,0.0017048681902375768,0.9693946622962701,0.8845993965131592,1.0958572503184492,-0.16875279469352913,0.26228415202163885,-0.6828202863715696,0.34531469698451134,-1.9954848181281732,1.6579792287411148,0.9997924469321783,0.4997924469321783,3.6828708429734998
20,002,002_02,002_02_01,NA,0020,ackil & zaragoza,-10.573991031390051,Ackil_1995,article,Jennifer K. Ackil; Maria S. Zaragoza,Developmental Differences in Eyewitness Suggestibility and Memory for Source,1995,Journal of Experimental Child Psychology,10.1006/jecp.1995.1031,en,en,us,community,missing,none,NA,0,0,0,0,282,54,54,within,NA,NA,0.34,0.64,0.229793714285714,0.236781333333333,proportion,1,omit,omit,neutral,first graders,"Figure 1, p.70. Error rates estimated from figure using a ruler.",7.8,NA,NA,7.2,8.3,NA,NA,no_manipulation,0,0,visual,looking_for_miracles,NA,0,0,0,audio,narrative,NA,no_manipulation,0,168,1,0,source_monitoring,live,NA,5,5,23,All participants were warned that the exposere narrative contained some mistakes and asked to complete the source memory test,"Comparing first graders, third graders, fifth graders and collage students in two experiments. One with delay, one without.",1,1.27669965276944,0.044583157423063,1995,-0.31177228624562453,0.0016580844801186156,1.3906387687488109,0.8807832776427595,1.5788659980813642,-0.1139391159793707,0.2620655586974191,-0.6275781726146795,0.39969994065593817,-1.9405506181720746,1.712672386213333,0.9999999992598223,0.4999999992598223,9.130664005236662
21,003,003_01,003_01_01,280_01_01,0021,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.9,0.4,0.147853846153846,0.225806452991453,proportion,0,omit,omit,consistent,"young, form A, led vs misled",NA,NA,NA,NA,20,35,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,2.56771765550478,0.182414674479887,1989,0.24822771375437547,0.003166933240040557,1.3941211554932984,0.9553805399524377,1.4592312666978782,1.1735965000114814,0.26369884369777546,0.6567562635989845,1.6904367364239783,-0.653917748747308,3.001110748770271,0.9999999990836339,0.4999999990836339,9.037930988241186
22,003,003_01,003_01_01,280_01_01,0022,Adams-Price,-16.57399103139005,NA,dissertation,NA,NA,NA,NA,NA,en,en,gb,community,lab,NA,NA,0,0,0,0,120,20,20,within,NA,NA,0.7,0.4,0.190700833333333,0.186455023809524,proportion,0,omit,omit,no_misinformation,"young, form A, nonsuggested vs misled",NA,NA,NA,NA,20,35,0,NA,no_manipulation,0,0,audiovisual,minor_theft_films_adams_price_1989,no_manipulation,1,0,0,live,interview,no_manipulation,no_manipulation,0,0,0,0,recognition,live,NA,2,2,36,Age and gender information is generalized from the reported recruitment strategy for each age group,The number of test items is inferred from the fact that each participant saw both films;,1,1.55911401315278,0.130385456325117,1989,0.0482277137543754,0.0010505876645475912,0.7509420379023548,0.9281022431799826,0.8091156372269731,0.8081719752504253,0.26246154830158624,0.29375679325269655,1.322587157248154,-1.0186579234843292,2.6350018739851797,0.9999921206693487,0.4999921206693487,5.103510674237055
